Id,Name,Age,Nationality,Team,Contract,Height,Weight,Preferred Foot,Overall,Potential,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Total Stats,Base Stats,International Reputation
158023,L. Messi,34,Argentina,Paris Saint-Germain,"
2021 ~ 2023",170cm,72kg,Left,93,93,93,RW,0,"Aug 10, 2021",N/A,€78M,€320K,2219,462,5 
188545,R. Lewandowski,32,Poland,FC Bayern München,"
2014 ~ 2023",185cm,81kg,Right,92,92,92,ST,0,"Jul 1, 2014",N/A,€119.5M,€270K,2212,460,5 
231747,K. Mbappé,22,France,Paris Saint-Germain,"
2018 ~ 2022",182cm,73kg,Right,91,95,92,ST,4,"Jul 1, 2018",N/A,€194M,€230K,2175,470,4 
200389,J. Oblak,28,Slovenia,Atlético de Madrid,"
2014 ~ 2023",188cm,87kg,Right,91,93,91,GK,2,"Jul 16, 2014",N/A,€112M,€130K,1413,489,5 
192985,K. De Bruyne,30,Belgium,Manchester City,"
2015 ~ 2025",181cm,70kg,Right,91,91,91,CM,0,"Aug 30, 2015",N/A,€125.5M,€350K,2304,485,4 
190871,Neymar Jr,29,Brazil,Paris Saint-Germain,"
2017 ~ 2025",175cm,68kg,Right,91,91,91,LW,0,"Aug 3, 2017",N/A,€129M,€270K,2183,454,5 
20801,Cristiano Ronaldo,36,Portugal,Juventus,"
2018 ~ 2022",187cm,83kg,Right,91,91,91,ST,0,"Jul 10, 2018",N/A,€45M,€190K,2210,458,5 
215914,N. Kanté,30,France,Chelsea,"
2016 ~ 2023",168cm,70kg,Right,90,90,90,CDM,0,"Jul 16, 2016",N/A,€100M,€230K,2179,470,4 
202126,H. Kane,27,England,Tottenham Hotspur,"
2010 ~ 2024",188cm,89kg,Right,90,90,90,ST,0,"Jul 28, 2010",N/A,€129.5M,€240K,2205,456,4 
192448,M. ter Stegen,29,Germany,FC Barcelona,"
2014 ~ 2025",187cm,85kg,Right,90,92,90,GK,2,"Jul 1, 2014",N/A,€99M,€250K,1444,484,4 
167495,M. Neuer,35,Germany,FC Bayern München,"
2011 ~ 2023",193cm,93kg,Right,90,90,90,GK,0,"Jul 1, 2011",N/A,€13.5M,€86K,1534,501,5 
230621,G. Donnarumma,22,Italy,Paris Saint-Germain,"
2021 ~ 2026",196cm,90kg,Right,89,93,89,GK,4,"Jul 15, 2021",N/A,€119.5M,€110K,1377,481,3 
212831,Alisson,28,Brazil,Liverpool,"
2018 ~ 2027",191cm,91kg,Right,89,90,89,GK,1,"Jul 19, 2018",N/A,€82M,€190K,1393,486,3 
212622,J. Kimmich,26,Germany,FC Bayern München,"
2015 ~ 2023",177cm,75kg,Right,89,90,89,CDM,1,"Jul 1, 2015",N/A,€108M,€160K,2283,475,4 
210257,Ederson,27,Brazil,Manchester City,"
2017 ~ 2024",188cm,86kg,Left,89,91,89,GK,2,"Jul 1, 2017",N/A,€94M,€200K,1583,501,3 
209331,M. Salah,29,Egypt,Liverpool,"
2017 ~ 2023",175cm,71kg,Left,89,89,89,RW,0,"Jul 1, 2017",N/A,€101M,€270K,2211,468,4 
208722,S. Mané,29,Senegal,Liverpool,"
2016 ~ 2023",175cm,69kg,Right,89,89,89,LW,0,"Jul 1, 2016",N/A,€101M,€270K,2192,465,4 
203376,V. van Dijk,29,Netherlands,Liverpool,"
2018 ~ 2023",193cm,92kg,Right,89,89,89,CB,0,"Jan 1, 2018",N/A,€86M,€230K,2104,455,4 
200145,Casemiro,29,Brazil,Real Madrid CF,"
2013 ~ 2023",185cm,84kg,Right,89,89,89,CDM,0,"Jul 11, 2013",N/A,€88M,€310K,2219,462,3 
200104,H. Son,28,Korea Republic,Tottenham Hotspur,"
2015 ~ 2023",183cm,78kg,Right,89,89,89,LM,0,"Aug 28, 2015",N/A,€104M,€220K,2142,455,4 
192119,T. Courtois,29,Belgium,Real Madrid CF,"
2018 ~ 2024",199cm,96kg,Left,89,91,89,GK,2,"Aug 9, 2018",N/A,€85.5M,€250K,1327,469,4 
165153,K. Benzema,33,France,Real Madrid CF,"
2009 ~ 2022",185cm,81kg,Right,89,89,89,CF,0,"Jul 9, 2009",N/A,€66M,€350K,2116,446,4 
239085,E. Haaland,20,Norway,Borussia Dortmund,"
2020 ~ 2024",194cm,94kg,Left,88,93,90,ST,5,"Jan 1, 2020",N/A,€137.5M,€110K,2102,458,4 
212198,Bruno Fernandes,26,Portugal,Manchester United,"
2020 ~ 2025",179cm,69kg,Right,88,91,90,CAM,3,"Jan 30, 2020",N/A,€119.5M,€250K,2341,481,3 
202652,R. Sterling,26,England,Manchester City,"
2015 ~ 2023",170cm,69kg,Right,88,89,88,LW,1,"Jul 14, 2015",N/A,€107.5M,€290K,2113,451,4 
193041,K. Navas,34,Costa Rica,Paris Saint-Germain,"
2019 ~ 2024",185cm,80kg,Right,88,88,88,GK,0,"Sep 2, 2019",N/A,€15.5M,€130K,1428,477,3 
192505,R. Lukaku,28,Belgium,Chelsea,"
2021 ~ 2026",191cm,94kg,Left,88,88,88,ST,0,"Aug 12, 2021",N/A,€93.5M,€260K,2064,445,4 
