Id,Name,Age,Nationality,Team,Height,Weight,Overall,Potential,Best position,Value,Wage,International Reputation
158023,L. Messi,34,Argentina,Paris Saint-Germain,170cm,72kg,93,93,RW,€78M,€320K,5 
188545,R. Lewandowski,32,Poland,FC Bayern München,185cm,81kg,92,92,ST,€119.5M,€270K,5 
231747,K. Mbappé,22,France,Paris Saint-Germain,182cm,73kg,91,95,ST,€194M,€230K,4 
200389,J. Oblak,28,Slovenia,Atlético de Madrid,188cm,87kg,91,93,GK,€112M,€130K,5 
192985,K. De Bruyne,30,Belgium,Manchester City,181cm,70kg,91,91,CM,€125.5M,€350K,4 
190871,Neymar Jr,29,Brazil,Paris Saint-Germain,175cm,68kg,91,91,LW,€129M,€270K,5 
20801,Cristiano Ronaldo,36,Portugal,Juventus,187cm,83kg,91,91,ST,€45M,€190K,5 
215914,N. Kanté,30,France,Chelsea,168cm,70kg,90,90,CDM,€100M,€230K,4 
202126,H. Kane,27,England,Tottenham Hotspur,188cm,89kg,90,90,ST,€129.5M,€240K,4 
192448,M. ter Stegen,29,Germany,FC Barcelona,187cm,85kg,90,92,GK,€99M,€250K,4 
167495,M. Neuer,35,Germany,FC Bayern München,193cm,93kg,90,90,GK,€13.5M,€86K,5 
230621,G. Donnarumma,22,Italy,Paris Saint-Germain,196cm,90kg,89,93,GK,€119.5M,€110K,3 
212831,Alisson,28,Brazil,Liverpool,191cm,91kg,89,90,GK,€82M,€190K,3 
212622,J. Kimmich,26,Germany,FC Bayern München,177cm,75kg,89,90,CDM,€108M,€160K,4 
210257,Ederson,27,Brazil,Manchester City,188cm,86kg,89,91,GK,€94M,€200K,3 
209331,M. Salah,29,Egypt,Liverpool,175cm,71kg,89,89,RW,€101M,€270K,4 
208722,S. Mané,29,Senegal,Liverpool,175cm,69kg,89,89,LW,€101M,€270K,4 
203376,V. van Dijk,29,Netherlands,Liverpool,193cm,92kg,89,89,CB,€86M,€230K,4 
200145,Casemiro,29,Brazil,Real Madrid CF,185cm,84kg,89,89,CDM,€88M,€310K,3 
200104,H. Son,28,Korea Republic,Tottenham Hotspur,183cm,78kg,89,89,LM,€104M,€220K,4 
192119,T. Courtois,29,Belgium,Real Madrid CF,199cm,96kg,89,91,GK,€85.5M,€250K,4 
165153,K. Benzema,33,France,Real Madrid CF,185cm,81kg,89,89,CF,€66M,€350K,4 
239085,E. Haaland,20,Norway,Borussia Dortmund,194cm,94kg,88,93,ST,€137.5M,€110K,4 
212198,Bruno Fernandes,26,Portugal,Manchester United,179cm,69kg,88,91,CAM,€119.5M,€250K,3 
202652,R. Sterling,26,England,Manchester City,170cm,69kg,88,89,LW,€107.5M,€290K,4 
193041,K. Navas,34,Costa Rica,Paris Saint-Germain,185cm,80kg,88,88,GK,€15.5M,€130K,3 
192505,R. Lukaku,28,Belgium,Chelsea,191cm,94kg,88,88,ST,€93.5M,€260K,4 
182521,T. Kroos,31,Germany,Real Madrid CF,183cm,76kg,88,88,CM,€75M,€310K,4 
176580,L. Suárez,34,Uruguay,Atlético de Madrid,182cm,83kg,88,88,ST,€44.5M,€135K,5 
