"","호선","역명","감소율"
"1","3호선","지축",-140.833086318414
"2","5호선","마곡",-26.3050835164437
"3","5호선","상일동",-6.74128920276516
"4","7호선","천왕",-0.318689630629003
"5","5호선","신길",0.0525147576882779
"6","2호선","성수",2.61504449341653
"7","2호선","뚝섬",2.94245073418394
"8","5호선","마천",3.28904295340151
"9","5호선","을지로4가",5.84675734882063
"10","2호선","도림천",6.28483314947034
"11","5호선","여의도",7.0634260929343
"12","5호선","양평",7.71661768350979
"13","8호선","문정",7.92255064178509
"14","8호선","산성",8.35909563569194
"15","5호선","영등포구청",9.06938300156478
"16","7호선","가산디지털단지",9.30290244912634
"17","5호선","길동",10.7757081252513
"18","7호선","학동",10.8946047541289
"19","5호선","김포공항",11.0610090995259
"20","5호선","거여",11.1601557645304
"21","5호선","신정",11.2558125988991
"22","5호선","발산",11.5373301732258
"23","3호선","녹번",11.7675584629245
"24","7호선","강남구청",12.0192914009107
"25","2호선","문래",12.4957897034602
"26","6호선","돌곶이",12.830488533537
"27","5호선","명일",12.9548367629973
"28","3호선","매봉",13.0259080297108
"29","7호선","논현",13.0903413414092
"30","6호선","망원",13.2158535831324
"31","2호선","신정네거리",13.8688364374901
"32","7호선","장암",13.9342496183832
"33","7호선","마들",14.464731942767
"34","7호선","사가정",14.5586586249973
"35","5호선","충정로",15.3547371483
"36","4호선","동작",15.3654526734263
"37","2호선","영등포구청",15.4357513401267
"38","5호선","아차산",15.5002997666681
"39","7호선","춘의",15.5184957937009
"40","7호선","군자",15.7934405711654
"41","8호선","암사",15.8188727188659
"42","2호선","을지로4가",16.233595685248
"43","5호선","군자",16.4600446723459
"44","7호선","신풍",16.5041679631989
"45","7호선","까치울",16.5946529473507
"46","6호선","디지털미디어시티",16.8128145730824
"47","2호선","용두",17.0643106812772
"48","2호선","신답",17.3882100336546
"49","6호선","청구",17.430029835533
"50","2호선","역삼",17.455880038328
"51","5호선","오금",17.4861668076449
"52","8호선","강동구청",17.5555781078072
"53","7호선","용마산",17.687279597082
"54","7호선","부천시청",17.7562605492947
"55","5호선","마포",17.8830291175734
"56","7호선","상봉",17.8935438024927
"57","6호선","독바위",17.9254055885312
"58","2호선","상왕십리",18.0085982657886
"59","5호선","공덕",18.0670967116849
"60","2호선","봉천",18.0957486773658
"61","6호선","응암",18.352386082544
"62","7호선","내방",18.3834443124361
"63","4호선","당고개",18.4136400104426
"64","8호선","모란",18.4207013145661
"65","7호선","보라매",18.4315235528173
"66","5호선","까치산",18.5074839156431
"67","5호선","장한평",18.5831770876481
"68","5호선","강동",18.6404222773097
"69","8호선","가락시장",18.7385260461081
"70","2호선","용답",18.9187844261029
"71","3호선","구파발",19.2190513082613
"72","7호선","중곡",19.2599641420077
"73","8호선","신흥",19.2901811059684
"74","7호선","남구로",19.3319266762558
"75","7호선","뚝섬유원지",19.3355567589474
"76","2호선","구의",19.3463273282984
"77","2호선","선릉",19.3506036657039
"78","6호선","증산",19.352698110197
"79","3호선","금호",19.4517424433887
"80","5호선","영등포시장",19.4944383297157
"81","6호선","공덕",19.539107551408
"82","5호선","둔촌동",19.6163959567632
"83","4호선","삼각지",19.6815210279042
"84","7호선","수락산",19.7430128448171
"85","5호선","여의나루",19.8252718751422
"86","7호선","부평구청",20.0638772009204
"87","5호선","굽은다리",20.0682854037922
"88","7호선","신중동",20.1339896437495
"89","5호선","행당",20.170312635261
"90","6호선","마포구청",20.2475336911738
"91","7호선","도봉산",20.2866508167045
"92","5호선","답십리",20.28974106268
"93","6호선","한강진",20.3325481210305
"94","3호선","경찰병원",20.5840294350946
"95","5호선","신금호",20.636071922113
"96","5호선","서대문",20.7169065763477
"97","6호선","구산",20.7176395571271
"98","7호선","먹골",20.7276564723036
"99","3호선","수서",20.7441188486642
"100","7호선","굴포천",20.772458525578
"101","7호선","청담",20.775595746489
"102","7호선","신대방삼거리",20.815437441542
"103","2호선","아현",20.9632717413375
"104","5호선","청구",21.0050915531639
"105","4호선","신용산",21.0167598837879
"106","2호선","구로디지털단지",21.0650949399915
"107","3호선","압구정",21.0728985788109
"108","3호선","옥수",21.0926194840019
"109","3호선","무악재",21.1010012582095
"110","5호선","화곡",21.1370965862543
"111","7호선","중화",21.292197757773
"112","5호선","동대문역사문화공원",21.5124580472821
"113","3호선","대청",21.5747814047567
"114","7호선","면목",21.7907914611982
"115","8호선","석촌",21.8597028367705
"116","6호선","보문",21.8814006203436
"117","8호선","복정",21.9002760367127
"118","2호선","신대방",21.9004703422565
"119","5호선","방이",21.9080506842231
"120","3호선","일원",21.9132012265502
"121","4호선","미아사거리",21.9315241685847
"122","5호선","오목교",22.098680706894
"123","6호선","버티고개",22.1656636450145
"124","5호선","고덕",22.1975648643179
"125","2호선","양천구청",22.2001294545131
"126","2호선","신당",22.2138808361125
"127","3호선","도곡",22.2525292733165
"128","7호선","남성",22.304320921452
"129","7호선","노원",22.3332722442875
"130","8호선","수진",22.4275434864827
"131","5호선","방화",22.4361125363249
"132","7호선","이수",22.4420711132962
"133","2호선","합정",22.4437366450797
"134","5호선","개롱",22.7069695831161
"135","8호선","단대오거리",22.7423033648981
"136","4호선","상계",22.7879924972453
"137","3호선","신사",22.8362108605203
"138","6호선","역촌",22.9819155932538
"139","5호선","애오개",23.2160647638889
"140","7호선","삼산체육관",23.2731478064024
"141","6호선","광흥창",23.2935135383935
"142","2호선","낙성대",23.4895804776827
"143","6호선","창신",23.507988413373
"144","3호선","양재",23.6405461412898
"145","6호선","석계",23.6954121335658
"146","5호선","천호",23.7451150695142
"147","4호선","쌍문",23.8128599702893
"148","7호선","온수",23.9469099252184
"149","8호선","장지",24.0850739470333
"150","6호선","약수",24.1188384768696
"151","6호선","합정",24.1208921101518
"152","3호선","연신내",24.2772046294599
"153","8호선","남한산성입구",24.3241667707217
"154","3호선","가락시장",24.3683318270059
"155","3호선","오금",24.4109196694885
"156","2호선","신림",24.4456192628207
"157","5호선","개화산",24.5749139244793
"158","6호선","새절",24.6516652714226
"159","5호선","광나루",24.6622906238857
"160","4호선","수유",24.8468448019122
"161","2호선","서울대입구",24.8522719184639
"162","6호선","상월곡",24.8544177938292
"163","6호선","효창공원앞",24.8697774015238
"164","5호선","우장산",25.0031273258971
"165","3호선","을지로3가",25.0721004001948
"166","5호선","왕십리",25.1244222321922
"167","1호선","동묘앞",25.1658715412923
"168","4호선","창동",25.2426013905365
"169","3호선","약수",25.3542520301623
"170","2호선","서초",25.4525704589136
"171","3호선","대치",25.457953985072
"172","5호선","목동",25.4983330476665
"173","3호선","홍제",25.9131397860304
"174","8호선","잠실",25.9313069239078
"175","4호선","미아",25.967567375271
"176","2호선","교대",26.061546633436
"177","7호선","공릉",26.0636428307246
"178","6호선","태릉입구",26.1205880286363
"179","3호선","교대",26.1296220875969
"180","7호선","철산",26.1804926905167
"181","2호선","을지로3가",26.2454506425605
"182","6호선","신당",26.3886257639499
"183","8호선","몽촌토성",26.4508893469377
"184","4호선","총신대입구",26.4530194076811
"185","1호선","제기동",26.485293088127
"186","6호선","동묘앞",26.5290054167698
"187","7호선","장승배기",26.6151225265365
"188","2호선","충정로",26.6282129114273
"189","7호선","하계",26.7742555173753
"190","7호선","반포",26.8246450779821
"191","6호선","삼각지",26.8261149022206
"192","4호선","노원",26.9301376792104
"193","6호선","봉화산",26.9327377647222
"194","3호선","불광",27.0302173646955
